dialog-password,img/adwaita-icons/status/dialog-password.svg
check,img/octicons/check.svg
x,img/octicons/x.svg
mail,img/octicons/mail.svg
link-external,img/octicons/ling-external.svg
public-share,img/adwaita-icons/places/folder-publicshare.svg
web-browser,img/adwaita-icons/apps/web-browser.svg
facebook,img/logos/facebook.svg
twitter,img/logos/twitter.svg
linkedin,img/logos/linkedin.svg
mark-github,img/octicons/mark-github.svg
repo,img/octicons/repo.svg
issue-opened,img/octicons/issue-opened.svg
system-software-install,img/adwaita-icons/apps/system-software-install.svg
